[2026-01-11 19:24:32] [info] VAPID keys generated | IP: 127.0.0.1
[2026-01-17 11:52:15] [info] VAPID keys generated | IP: 127.0.0.1
[2026-01-17 12:29:09] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-17 13:29:01] [info] Unsubscribe: fcm.googleapis.com | IP: 127.0.0.1
[2026-01-17 13:29:05] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-19 21:39:02] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-19 22:38:41] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-19 22:38:41] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-19 22:38:42] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-19 22:38:42] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-19 22:38:43] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-19 22:41:28] [info] Unsubscribe: fcm.googleapis.com | IP: 127.0.0.1
[2026-01-19 22:41:36] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-19 22:41:40] [info] Unsubscribe: fcm.googleapis.com | IP: 127.0.0.1
[2026-01-19 22:41:42] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-19 22:41:43] [info] Unsubscribe: fcm.googleapis.com | IP: 127.0.0.1
[2026-01-19 22:41:43] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-19 22:41:44] [info] Unsubscribe: fcm.googleapis.com | IP: 127.0.0.1
[2026-01-19 22:42:00] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-22 14:34:20] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
[2026-01-22 22:16:49] [info] Subscribe: fcm.googleapis.com (desktop) | IP: 127.0.0.1
